IssuedYear,IssuedMonth,LoanAmt,EmpLength,Purpose,State,DTI,FICO
2008,Apr,1000.0,1,my home,CA,-1.0,111
2008,Apr,10000.0,3,Consolidate Debt,NJ,47.77,640
2008,Apr,3500.0,1,Getting MBA,NY,30.11,682
2008,Apr,20000.0,10,Debt Consolidation,NC,17.74,718
2008,Apr,20000.0,1,paying debt,NY,734.4,630
2008,Apr,2500.0,10,Payoff Payday Loans,IN,6.24,448
2008,Apr,25000.0,5,Individual looking achieve dream,NY,30.24,543
2008,Apr,7500.0,2,Easy Credit Card Consolidate,WI,3.09,621
2008,Apr,10000.0,1,Credit Card Refinancing,MD,30.74,545
2008,Apr,15000.0,1,pay off bills and increase credit score,MN,64.52,490
2008,Apr,3500.0,1,pERSONAL,PA,-1.0,111
2008,Apr,20000.0,3,credit cards,GA,28.78,627
2008,Apr,25000.0,4,Consolidate Debt,SC,20.22,681
2008,Apr,1500.0,1,my 9 year old needs food and i need car,NC,8.57,418
2008,Apr,1000.0,1,moving into a bigger home,NC,-1.0,111
2008,Apr,10000.0,1,"Looking for a $10,000 Loan for Florida",CT,0.0,574
2008,Apr,10000.0,1,medical,MD,22.2,397
2008,Apr,12000.0,1,personal loan,TX,55.29,698
2008,Apr,10000.0,1,home,MD,0.0,111
2008,Apr,12000.0,1,personal loan,TX,43.02,699
2008,Apr,1000.0,1,Baby Loan,AL,14.3,549
2008,Apr,20000.0,2,Consolidates debts to sleep well,FL,-1.0,111
2008,Apr,4000.0,8,PAY OFF CURRENT DEBT FINALLY,NH,37.25,533
2008,Apr,25000.0,6,Expand Business,GA,0.0,801
2008,Apr,19000.0,2,Credit Card Consolidation Loan,TX,13.57,699
2008,Apr,5000.0,3,College tuition,WI,-1.0,111
2008,Apr,25000.0,10,reduces debt,VA,48.0,603
2008,Apr,5000.0,1,my loan,TN,10.02,449
2008,Apr,2000.0,1,school,FL,10.27,543
2008,Apr,1500.0,1,Get Caught Up,FL,0.0,671
2008,Apr,3000.0,10,Personal loan,WA,0.42,441
2008,Apr,25000.0,1,Adopting a Child,MO,43.51,697
2008,Apr,2500.0,2,To give my bride a special day,FL,11.01,536
2008,Apr,7000.0,10,catch up/pay down bills ,NY,0.94,550
2008,Apr,12000.0,1,I Want To Give Her A Day Free Of Stress!,MO,20.91,595
2008,Apr,2350.0,6,Credit card elimination,MI,35.93,696
2008,Apr,6500.0,1,reduce credit card interest rate,NY,14.86,576
2008,Apr,10000.0,5,Consolidation,TX,12.72,726
2008,Apr,10500.0,10,Consolidate Debt due to Medical Crisis,ID,17.82,626
2008,Apr,16000.0,7,"Outstanding Credit, Very Low Risk",TX,10.64,686
2008,Apr,10000.0,10,Looking to Establish Credit,IL,0.18,690
2008,Apr,6000.0,5,Please Help My Family!,PA,13.52,473
2008,Apr,4250.0,8,personal,IN,26.52,593
2008,Apr,5000.0,1,Wedding help: rings and honeymoon,TX,-1.0,111
2008,Apr,18000.0,2,To pay off high interest bills ,DE,17.75,659
2008,Apr,22500.0,3,Please Help Me !!!! ,NJ,3.17,485
2008,Apr,32000.0,10,"Single Father needs ""helping hand""",TX,25.63,629
2008,Apr,2000.0,1,I need a new computer!,CA,1.64,548
2008,Apr,800.0,1,"Please Help me, Help me",NV,0.0,523
2008,Apr,3500.0,1,Something to start my dream career.,NY,20.62,642
2008,Apr,21000.0,1,Consolidate Credit Lower Interest Rate,FL,-1.0,111
2008,Apr,25000.0,10,WE NEED SOME HELP FINISHING OUR HOME!!,MA,14.41,612
2008,Apr,15500.0,10,Looking to Pay Off New Car,IL,12.05,690
2008,Apr,3000.0,4,just want to clean up credit to buy hous,MO,0.0,111
2008,Apr,8000.0,10,buying buissness need to consolidate ,KY,-1.0,111
2008,Apr,3500.0,1,CAR LOAN,FL,4.94,481
2008,Apr,5000.0,1,Needing loan for a used car,IA,366.67,508
2008,Apr,25000.0,1,Debt Consolidation,NC,-1.0,111
2008,Apr,20000.0,1,Debt Consolidation,NV,-1.0,111
2008,Apr,3600.0,3,Car Purchase,NY,6.9,569
