IssuedYear,IssuedMonth,LoanAmt,EmpLength,Purpose,State,DTI,FICO
2007,Oct,10000.0,1,DirtyDzn6,TX,379.2,616
2007,Oct,6500.0,4,Chad McIlvenna,GA,29.75,734
2007,Oct,10000.0,2,tammy245,OH,16.78,489
2007,Oct,25000.0,4,martrice2003,TX,48.94,431
2007,Oct,25000.0,1,torrence,TX,4.48,456
2007,Oct,10000.0,1,papatobandc,MO,6.55,435
2007,Oct,7500.0,10,Nana,MO,16.36,575
2007,Oct,4750.0,1,happymonkey,TX,38.57,667
2007,Oct,500.0,7,webwalking1,MT,0.65,524
2007,Oct,5000.0,6,secondchance,NJ,1.03,607
2007,Oct,8275.0,10,tnc11,NC,9.64,744
2007,Oct,2500.0,1,milkshop,TN,2.5,553
2007,Oct,2000.0,8,Bills,WI,22.68,648
2007,Oct,8500.0,10,shorsey,MD,6.36,618
2007,Oct,1500.0,1,jeffpran,AZ,0.0,111
2007,Oct,3000.0,10,Help a family get back on their feet,MI,38.96,481
2007,Oct,500.0,1,Maggie,KY,0.0,492
2007,Oct,10000.0,10,charm2007,TX,0.0,111
2007,Oct,6275.0,1,tnc12,NC,22.15,655
2007,Oct,6275.0,1,tnc13,NC,8.72,701
2007,Oct,14000.0,2,momof4,CO,19.11,689
2007,Oct,10000.0,1,pebbles12793,TX,15.91,407
2007,Oct,2000.0,3,azleslieb,AZ,23.81,480
2007,Oct,25000.0,1,stp9359,NH,21.26,635
2007,Oct,25000.0,2,tunney,MA,13.43,626
2007,Oct,9000.0,1,jayc0811,FL,0.72,630
2007,Oct,12500.0,3,otherhalfus,NH,6.67,546
2007,Oct,25000.0,3,hi my name is hervey and i have a bussiness and a family  and im about to lose   our home can u help ,NJ,0.0,475
2007,Oct,2000.0,1,jackliveshere24,GA,4.14,557
2007,Oct,20000.0,1,Eysofastgr,OH,11.12,514
2007,Oct,5500.0,2,sammi119,NE,20.93,637
2007,Oct,20000.0,4,nikkiblaze,KY,24.44,646
2007,Oct,2000.0,2,ctaz1973,NY,2.47,568
2007,Oct,25000.0,9,ALSTO40,FL,19.0,587
2007,Oct,3000.0,1,lcanter1,AZ,22.8,639
2007,Oct,3500.0,4,dexmon98,TX,21.39,469
2007,Oct,2000.0,3,KenCraw1,VA,13.87,513
2007,Oct,1000.0,1,adam930,MD,1.2,474
2007,Oct,5000.0,1,tdsidbury,DC,9.05,669
2007,Oct,2000.0,1,bmoore2021,TX,79.27,477
2007,Oct,3500.0,10,crested1,FL,8.52,574
2007,Oct,1000.0,2,lovemykids1972,KS,0.0,111
2007,Oct,1500.0,2,katana04,NC,26.91,490
2007,Oct,5000.0,2,kalee,DC,11.34,481
2007,Oct,5000.0,10,hearing for a school counselor,TX,13.29,475
2007,Oct,1000.0,1,forkless,DC,10.78,592
2007,Oct,1000.0,1,hitmen149,NY,12.33,549
2007,Oct,3000.0,4,flsinglemom,FL,10.92,463
2007,Oct,2500.0,1,Jagfan13,FL,16.77,488
2007,Oct,7500.0,10,pay off high interest loans,GA,180000.0,536
2007,Oct,25000.0,3,christopher,WY,9.12,512
2007,Oct,7500.0,1,helpmebuy,GA,0.0,541
2007,Oct,1000.0,2,nchick1424,MA,0.0,519
2007,Oct,8000.0,10,HOPELYPRAYING,AL,20.31,484
2007,Oct,14250.0,1,Bart (Middle name),OH,16.34,786
2007,Oct,7500.0,2,certaldo1,DC,5.19,595
2007,Oct,8500.0,7,acn248,MS,0.0,574
2007,Oct,15000.0,2,rchase1832,MD,18.0,581
2007,Oct,3000.0,1,arunge1,WA,15.08,599
2007,Oct,8500.0,10,acn1244,MS,88.6,541
2007,Oct,1000.0,1,angel19,WA,0.0,111
2007,Oct,1500.0,1,Stevo,VA,0.0,111
2007,Oct,15000.0,1,taktikz,FL,0.54,564
2007,Oct,600.0,1,Lilah,AR,40.91,575
2007,Oct,15000.0,1,mikarate2002,FL,90.0,669
2007,Oct,15000.0,10,jojo,KS,61.35,559
2007,Oct,10000.0,1,Modest_Needs _2,MA,0.0,617
2007,Oct,15000.0,1,brizzymae,UT,0.0,111
2007,Oct,23500.0,1,listful,AL,29.67,515
2007,Oct,7000.0,1,spacemann,NY,18.56,434
2007,Oct,25000.0,10,SENTEX,OH,2.36,499
2007,Oct,4000.0,3,krano,WI,12.05,471
2007,Oct,8000.0,7,jjrougier1224,NY,12.88,651
2007,Oct,500.0,1,Legalstudies1,NY,29.11,455
2007,Oct,15000.0,2,agonzalez,OH,31.76,525
2007,Oct,6000.0,1,woodstove/chimney replacement b4 winter,WI,0.0,667
2007,Oct,1000.0,2,Money to meet short-term capital needs,NC,54.6,713
2007,Oct,20000.0,10,Irishpride,FL,1.54,449
2007,Oct,8000.0,1,beautifulgogeter,LA,24.81,472
2007,Oct,525.0,1,zhugeleung,CO,14.9,807
2007,Oct,25000.0,10,ITVOffer,UT,0.28,476
2007,Oct,2000.0,1,jackiek30,TX,3.36,416
2007,Oct,17000.0,1,harriss,SC,12.51,632
2007,Oct,12000.0,1,appleuser07,WA,11.55,580
2007,Oct,15000.0,2,Chasiti1,TX,0.83,438
2007,Oct,15000.0,2,yamille,FL,3.84,571
2007,Oct,15000.0,1,petrik,NY,37.53,537
2007,Oct,5000.0,1,iuseapplecomp,WA,11.04,586
2007,Oct,15000.0,8,mdb3rd,OH,27.74,469
2007,Oct,12000.0,1,beauty21,OH,0.0,536
2007,Oct,25000.0,1,t7d4,KY,7.25,667
2007,Oct,12000.0,1,jmd0215,KS,0.0,111
2007,Oct,10000.0,1,klonsbury,NY,28.51,652
2007,Oct,7500.0,1,Vesabela,MD,0.0,479
2007,Oct,5000.0,3,Brandonc625,MO,41.57,695
2007,Oct,25000.0,1,Jamminjoe,WA,24.22,650
2007,Oct,5275.0,1,Refinance to better rates,MD,15.04,460
2007,Oct,14750.0,10,Moonglum,OH,37.36,640
2007,Oct,15000.0,10,Dragonmaiden,MA,0.0,111
2007,Oct,1200.0,9,khailia1,MD,11.68,633
2007,Oct,5000.0,3,licham27,NY,16.84,633
2007,Oct,5000.0,1,Septic and roof repair,ME,11.36,481
2007,Oct,1200.0,2,khailia2,MD,3.62,607
2007,Oct,12000.0,4,jbensin,FL,34.26,583
2007,Oct,2000.0,2,duane,MD,7.15,486
2007,Oct,7500.0,1,BestBorrower,NY,5.17,639
2007,Oct,18000.0,3,djestwd,FL,30.45,741
2007,Oct,15000.0,7,starrymom,AL,13.08,430
2007,Oct,4650.0,1,lostvalley 104,MO,14.9,493
2007,Oct,4650.0,1,lostvalleylake104,MO,3.5,539
2007,Oct,25000.0,7,brownus,CO,6.29,535
2007,Oct,5000.0,6,hepjaki,TX,10.39,530
2007,Oct,15000.0,1,krose1973,CO,6.61,466
2007,Oct,2500.0,2,tlong249,GA,24.0,431
2007,Oct,500.0,1,babyjoya,GA,15.18,535
2007,Oct,15000.0,3,singlefileline04,AZ,0.0,537
2007,Oct,2000.0,1,Educational Loan,FL,5.7,649
2007,Oct,12500.0,3,bama1978,AL,0.0,512
2007,Oct,23500.0,1,Belac,WA,20.55,557
2007,Oct,25000.0,6,jinglebellmag,TN,5.45,111
2007,Oct,25000.0,1,newportman,MA,0.95,440
2007,Oct,5100.0,1,Personal Loan,AL,7.73,618
2007,Oct,25000.0,1,mikewneedsyourhelp,FL,44.29,691
2007,Oct,4000.0,3,LuCiG,VA,22.34,516
2007,Oct,11000.0,5,MoGuy2600,MO,0.0,535
2007,Oct,800.0,10,harkva,OH,1.78,580
2007,Oct,500.0,2,smyjpmu,FL,2.31,751
2007,Oct,7500.0,1,Redsoxgirl911,MA,12.25,487
2007,Oct,10000.0,10,cnwtrainman,KS,19.66,607
2007,Oct,500.0,1,sixstringlover,MA,7.69,615
2007,Oct,2000.0,1,teresabird40,NY,0.0,559
2007,Oct,5700.0,2,tripledee138,NY,18.72,659
2007,Oct,5000.0,1,wastek.nrg,TX,13.7,658
2007,Oct,5000.0,1,bzdusekagency,AZ,9.62,460
2007,Oct,2000.0,1,shonklegin,VA,20.9,695
2007,Oct,5000.0,5,kiddo96,PA,7.13,461
2007,Oct,4000.0,1,rokinrobins,FL,8.85,559
2007,Oct,7500.0,9,arh777,AZ,7.27,475
2007,Oct,1200.0,1,Textbooks,NY,10.0,692
2007,Oct,500.0,10,grnick,MN,0.0,704
2007,Oct,5000.0,4,jfurball9,WI,35.56,567
2007,Oct,1000.0,5,rmwsnap,TX,13.52,452
2007,Oct,3000.0,2,angegirl5053,NJ,33.78,463
2007,Oct,500.0,1,jjbronk6970,VA,12.89,655
2007,Oct,20000.0,8,usandfourboys,LA,0.32,496
2007,Oct,6000.0,1,nyrice,NY,10.38,566
2007,Oct,800.0,1,msfry78,MN,4.42,481
2007,Oct,5000.0,2,ITANU,FL,14.78,546
2007,Oct,1000.0,1,megantownsend,NJ,1.51,470
2007,Oct,2000.0,1,cmichalec,OH,15.91,451
2007,Oct,15000.0,1,Cutting up my cards,WA,4.91,614
2007,Oct,500.0,2,lobrar,MA,0.0,111
2007,Oct,15000.0,2,cactusvals,MA,34.2,570
2007,Oct,1000.0,1,cigelske,WI,7.8,625
2007,Oct,5000.0,2,Jayr061,NJ,18.35,511
2007,Oct,10000.0,1,Looking To Pay Back Rent And Utilities,MA,12.24,647
2007,Oct,8000.0,6,agresty75,VA,11.76,661
2007,Oct,20000.0,1,LEARNfromMISTAKES,FL,8.55,613
2007,Oct,5000.0,1,Jeaniezbak,AZ,0.0,500
2007,Oct,14500.0,10,mom101,OH,35.61,602
2007,Oct,25000.0,1,JESSICA10,VA,25.29,692
2007,Oct,1000.0,9,latarsha,NC,2.8,598
2007,Oct,6500.0,2,Jayr989,NJ,0.0,534
2007,Oct,8275.0,6,tnc16,NC,28.16,616
2007,Oct,25000.0,10,Eagle,SC,47.76,739
2007,Oct,15000.0,2,rookie3948,ID,12.65,636
2007,Oct,1200.0,1,csbanex,VA,1.71,570
2007,Oct,2000.0,6,nanaTay,GA,0.0,443
2007,Oct,9300.0,3,lost valley 37429,MO,6.79,734
2007,Oct,6000.0,1,sheldon,IN,4.15,465
2007,Oct,4650.0,1,lost valley 37430,MO,38.76,615
2007,Oct,5000.0,1,dbarless,OH,6.0,430
2007,Oct,3200.0,1,Elephant,MA,0.0,111
2007,Oct,15000.0,4,Clean Karma,GA,22.54,681
2007,Oct,500.0,3,HuniBuni2383,OH,9.76,435
2007,Oct,800.0,1,Turtle,MA,0.0,111
2007,Oct,6200.0,1,lowrychris,FL,14.55,515
