IssuedYear,IssuedMonth,LoanAmt,EmpLength,Purpose,State,DTI,FICO
2008,Oct,7500.0,1,Refinance credit card debt,NJ,7.08,668
2008,Oct,7500.0,1,Small Business Working Capital Loan,FL,56.9,679
2008,Oct,2500.0,1,house improvement needed,MD,-1.0,111
2008,Oct,4750.0,7,Need a 2nd automobile ,VT,4.45,495
2008,Oct,3000.0,7,TIRED OF RENTING,AR,7.31,506
2008,Oct,3000.0,7,Finish Line,MS,-1.0,111
2008,Oct,2000.0,4,Medical with a disabled child,IA,-1.0,111
2008,Oct,2000.0,1,Help,TX,-1.0,111
2008,Oct,2000.0,1,Some help,TX,5.54,454
2008,Oct,3000.0,2,Need loan to pay off my car,MD,0.0,477
2008,Oct,3000.0,1,Paying off expenses after medical crisis,IL,1.21,495
2008,Oct,7500.0,3,Looking to refinance credit card debt,NY,21.43,580
2008,Oct,1500.0,9,Smart Gal wants Degree,NC,1.01,491
2008,Oct,1500.0,1,Home Repair,CA,-1.0,111
2008,Oct,4000.0,3,I need to consolidate,NY,-1.0,111
2008,Oct,3500.0,2,New Videography Equipment,AZ,3.55,605
2008,Oct,7500.0,1,Consolidation,FL,22.4,565
2008,Oct,1000.0,6,to pay off debts ,ND,0.0,492
2008,Oct,1000.0,1,college student seeking loan to pay rent,CA,-1.0,111
2008,Oct,7500.0,2,Home Purchase,AZ,33.64,515
2008,Oct,15000.0,3,Mobile Home Park Investment,IA,10.08,644
2008,Oct,7500.0,1,Expanding existing carpet clean business,OR,5.65,627
2008,Oct,6000.0,5,Help me consolidate my credit card debt,TX,26.23,697
2008,Oct,6000.0,1, ,GA,0.0,758
2008,Oct,2000.0,1,Down payment,GA,3.11,555
2008,Oct,5000.0,1,personal loan,PA,18.75,578
2008,Oct,1000.0,2,Hope for Life,NV,14.07,631
2008,Oct,5000.0,1, ,MI,0.0,111
2008,Oct,7500.0,1,Car for work,IL,0.0,476
2008,Oct,7500.0,1,car & payments,GA,4.0,583
2008,Oct,1800.0,1,Need help with debt,NV,7.06,553
2008,Oct,7500.0,1,Yazmith ,UT,10.64,645
2008,Oct,7500.0,3,Consolidate debt,VA,41.57,503
2008,Oct,6600.0,4,Consolidating debt at a better interest,GA,8.8,709
2008,Oct,7500.0,4,pay off high interest credit cards ,CA,23.08,527
2008,Oct,7200.0,5,Better rate,VA,16.95,736
2008,Oct,2500.0,1,need car,MD,18.11,563
2008,Oct,5000.0,7,Debt Consolidation Loan.,NY,7.97,706
2008,Oct,7500.0,2,for payment a starting a company,TX,-1.0,111
2008,Oct,1000.0,1,Dream Vacation,OK,12.14,430
2008,Oct,2000.0,4,Personal loan for debt consolidation,IN,15.31,461
2008,Oct,2500.0,4,Refrig,NY,9.74,435
2008,Oct,7500.0,3,Help me take a bite out of my debt,MD,41.11,648
2008,Oct,3000.0,1, ,PA,29.2,744
2008,Oct,1000.0,6,Capital for home business,TX,0.0,111
2008,Oct,1000.0,10,Freedom from unexpected expenses,VA,10.14,579
2008,Oct,5000.0,1,Lost Job going thru a divorce need help,IL,-1.0,111
2008,Oct,1500.0,10,Looking to consolidate debt and start ov,IN,12.86,486
2008,Oct,7500.0,1,tuition,CO,40.84,545
2008,Oct,7000.0,1,business operating expence peak season,TX,5.9,549
2008,Oct,3000.0,2,Software Development Investing Project,NJ,11.29,551
2008,Oct,7500.0,1,Consolidating several credit cards,OR,29.39,655
2008,Oct,4000.0,10,Vehicle expenses to consolidate & pay,CA,22.23,666
2008,Oct,7500.0,1,expand landscsping buisness,OH,36.99,697
2008,Oct,5000.0,6,I need help fixing my teeth!!,NC,3.5,431
2008,Oct,2500.0,1,Consolidating debt ,CA,30.54,520
2008,Oct,3000.0,1,Thinking about a Vespa Scooter,CA,9.43,761
2008,Oct,7500.0,2,1st time home buyer,AZ,7.49,673
2008,Oct,3000.0,2,closing costs,FL,0.75,725
2008,Oct,7500.0,4,Hit From Behind,CA,10.63,570
2008,Oct,3000.0,3,Personnal Loan,CA,-1.0,111
2008,Oct,2000.0,3,I'm getting married in may:),PA,2.27,621
2008,Oct,7500.0,6,Refinance Credit Card,TX,27.21,618
2008,Oct,7500.0,9,Consolidate debt ,NJ,60.08,581
2008,Oct,7000.0,4,Clear my debt,CA,26.29,633
2008,Oct,6800.0,4,Settle debt,WI,14.38,481
2008,Oct,7000.0,1,Film Project,CA,23.96,790
2008,Oct,2000.0,1,Payment,WA,34.12,657
2008,Oct,6000.0,1,College/Car/Card,IL,31.52,696
2008,Oct,20000.0,2,business,CT,2.88,461
2008,Oct,1500.0,1,Help Me Get Above Water,NE,-1.0,111
2008,Oct,5000.0,1,Overwhelmed need help,NY,7.73,545
2008,Oct,5000.0,2,Getting rid of Payday loan scams,KS,10.72,451
2008,Oct,7500.0,5,Purchase Cows For Small Farm,GA,26.57,678
2008,Oct,1000.0,1,paying the bills,FL,23.52,454
2008,Oct,5000.0,3,SCHOOL FUND,MD,11.5,111
2008,Oct,5000.0,1,debit solution,MN,13.09,487
2008,Oct,3500.0,7,consolidate credit cards,MA,9.43,489
2008,Oct,3500.0,1,Semester in LA,IL,16.44,663
2008,Oct,1000.0,1,pay bills,CA,-1.0,111
2008,Oct,3000.0,1,Need to somehow pay for school,VA,26.14,688
2008,Oct,3500.0,4,Pay my credit car of (27.49%),IL,33.91,672
2008,Oct,6000.0,1, ,SD,30.69,723
2008,Oct,3500.0,8,digoro,UT,7.5,592
2008,Oct,7500.0,2,joseph's loan,FL,8.35,635
2008,Oct,2000.0,1,"Overdrafted Credit Card, and Bank",KY,21.05,494
2008,Oct,1250.0,7,Better credit card rate,MI,11.52,648
2008,Oct,7500.0,1,Stop-Gap Loan,CO,11.18,556
2008,Oct,5000.0,10,Consolidation Loan,KY,20.4,565
2008,Oct,5000.0,10, ,AZ,9.73,782
2008,Oct,7500.0,9,Paying off my Visa,CA,24.33,727
2008,Oct,8000.0,1,Debt Consolidation,RI,8.69,564
2008,Oct,7500.0,1,Debt Consolidation,FL,22.23,723
2008,Oct,5500.0,1,Have to pay back Dad!!,WI,1.23,533
2008,Oct,3500.0,3,Need car to start junior college,CA,13.44,647
2008,Oct,3500.0,1,Need help getting out of this mess!,TX,24.44,490
2008,Oct,2000.0,10,getting back on my feet,NE,250.77,657
2008,Oct,2500.0,1,Need a second car!,MA,1.6,111
2008,Oct,7000.0,1,Repair leaky plumbing and fix damage ,CT,45.77,728
2008,Oct,7500.0,2,consolidate Credit Cards,MI,30.48,681
2008,Oct,7000.0,10,house loan,TX,10.7,780
2008,Oct,7500.0,2,Need this money temporarily to refinance,WA,48.22,583
2008,Oct,3000.0,9,single mom needs some help !,MA,-1.0,111
2008,Oct,2000.0,1,Finally going for my dream,WA,0.0,612
2008,Oct,7500.0,10,need to upgrade my kitchen and 3 restroo,CA,4.87,457
2008,Oct,3500.0,10,I Need To Get a Good Foothold,MS,10.66,481
2008,Oct,1500.0,1,Trying to get things together.,MT,25.6,464
2008,Oct,1000.0,10,Pay child's hospital bill,IL,28.24,658
2008,Oct,4000.0,7,Student Loan,OH,42.45,701
2008,Oct,5000.0,4,Wedding plan,CA,9.83,612
2008,Oct,7500.0,10,Capital for Store Expansion,CA,25.74,698
2008,Oct,7000.0,4,Adding inventory,IL,-1.0,111
2008,Oct,5000.0,10,consolidate debts,NY,8.28,462
2008,Oct,5000.0,1,Community & Home,MI,6.36,523
2008,Oct,5000.0,1,Debt help,NY,7.76,434
2008,Oct,1300.0,3,Phone debt,WY,0.0,536
2008,Oct,4000.0,2,Converting bathroom due to disability ,IL,488.33,538
2008,Oct,7500.0,5,Need money for downpayment,FL,13.62,639
2008,Oct,12000.0,2,Repair Investment Property,IL,19.42,695
2008,Oct,7500.0,5,I WANT TO START MY BEATY BUSINESS,CA,10.15,734
2008,Oct,7500.0,2,Please Help me to reduce my Bills,CA,18.89,504
2008,Oct,5000.0,10,Pay off debt,AZ,47.47,436
2008,Oct,1000.0,1,debt,VA,9.87,404
2008,Oct,7500.0,1,Car purchase and paying off credit card,FL,1.17,542
2008,Oct,7500.0,8,Help improve foreclosed homes!,AZ,0.46,778
